emerge,saleintended2,ebitbeforedummy,equitybefore,manufacturing,prime1yearbeffile,lnhqtohqctcity,prepack3,diploanres,commcred24,lnassetscurrdollar,lnjudgeexp,deny,judgeexpdummy
1,0,0,.16117761,0,9.5,0,0,1,0,6.906755,3.8501475,1,1
0,1,0,-.23685509,0,9.5,2.1972246,1,0,0,8.2430191,1.6094379,1,0
1,0,1,.33924696,0,9.5,0,0,1,0,7.30586,1.3862944,0,0
0,0,1,.021097047,1,9.5,0,0,1,1,7.3727465,1.9459101,1,1
0,0,1,.12722236,1,9.5,2.1972246,0,1,1,6.3664703,3.4339871,1,1
1,0,1,-1.8499528,1,9.5,0,0,1,1,6.0567842,1.0986123,0,0
0,0,0,.084710173,0,9.5,2.9957323,0,0,1,6.2383246,4.1588831,1,1
1,0,1,.38871834,0,9.5,0,1,0,0,7.6073813,.69314718,0,0
1,0,1,.50119615,0,9.5,3.1780539,1,1,1,7.0282016,3.1354942,1,1
1,0,1,.059051614,1,9.5,3.4011974,0,1,1,8.2406492,3.4657359,1,1
1,0,0,-.027450597,0,9.5,2.3978953,0,1,1,8.0401249,0,0,0
1,0,0,-.27165353,0,9.5,3.0445225,0,1,0,5.8377304,.69314718,0,0
1,0,1,.25639534,0,9.5,0,0,1,1,7.7493224,3.8918202,1,1
1,0,1,.016908212,0,9.5,3.2188759,1,1,0,6.3243589,.69314718,1,0
1,0,1,.27964258,0,9.5,0,0,1,1,7.3588309,3.1780539,1,1
0,0,1,.20584382,1,9.5,3.5263605,0,1,1,7.2723985,0,0,0
1,0,0,-.22277616,0,9.5,0,0,1,1,6.2422233,1.3862944,0,0
1,,0,.27923629,0,9,3.2580965,1,0,1,6.3350544,.69314718,0,0
0,1,1,.26674145,0,9,4.3438053,0,1,1,5.8861041,0,0,0
0,1,0,.15162455,1,9,3.7376697,0,1,1,5.9215784,0,0,0
0,1,1,.19803476,0,9,2.6390574,0,0,1,7.4849305,3.6888795,1,1
1,0,0,-.04702276,1,9,3.1780539,1,1,1,6.9177055,,0,1
1,0,1,.47641832,0,9,3.1780539,0,1,1,9.8878155,.69314718,0,0
1,0,0,-2.1438065,0,9,,0,0,1,8.6431208,1.0986123,1,0
1,0,0,.038506046,0,9,0,1,0,1,8.7638969,.69314718,1,0
0,1,0,.66039753,0,8.5,2.8903718,0,1,1,6.2971091,3.9318256,1,1
0,0,0,.068419062,1,8.5,2.3025851,1,1,1,5.8493247,1.7917595,1,1
0,0,1,.18224385,0,8.5,0,0,0,1,6.2265368,1.9459101,0,1
1,0,0,-.11757849,1,8.5,0,0,1,1,8.210124,1.0986123,1,0
1,1,1,.46153846,0,8.5,0,0,0,1,5.9026332,0,0,0
0,1,0,-.30072463,0,8.5,2.7725887,1,0,1,5.9135032,3.7841897,1,1
1,0,1,-6.568388,0,8.5,0,1,1,1,6.4167323,4.1271343,1,1
1,0,1,-.017392425,1,8.5,0,0,1,1,6.9324479,1.9459101,1,1
1,1,1,.24607331,1,8.5,2.9444389,0,1,1,6.6437898,3.5553482,1,1
1,0,0,-.28167281,1,8.5,2.8903718,2,1,0,6.300786,3.713572,1,1
0,0,0,.16260783,0,8.5,0,0,0,1,5.8289456,1.0986123,0,0
1,0,0,-.26943943,0,8.5,0,2,0,0,6.6025877,3.6888795,1,1
1,0,1,.10352673,1,8.5,3.6109178,0,1,1,7.0664668,3.2958369,1,1
0,1,0,-.13431543,1,8.5,1.7917595,0,1,1,8.0317106,.69314718,0,0
0,1,1,.29039812,0,8.5,2.9444389,0,1,1,6.3438807,1.0986123,0,0
1,0,0,.25603336,1,8.5,0,1,1,1,6.5998707,3.0445225,1,1
0,0,1,-.00084445981,0,8,3.3322046,0,0,0,6.5176711,3.3322046,1,1
1,0,1,.030510958,1,8,1.0986123,0,1,1,6.8394766,0,0,0
1,0,0,.14832331,0,8,4.4659081,0,1,1,7.8316174,1.7917595,1,1
1,0,1,.014562642,0,8,2.9444389,0,1,1,8.3483009,2.5649493,1,1
